nom,prénom,email,département,naissance,visites,dépenses
Adam,Astrid,aadam1@club-internet.fr,29,1971-12-25,166,82316.71
Adam,Anouk,aadam1@dbmail.com,47,1957-04-30,157,52303.76
Adam,Anne,aadam1@sfr.fr,2B,1979-03-04,66,32700.88
Adam,Anaïs,aadam1@tele2.fr,84,1996-06-15,399,61068.8
Adam,Alex,aadam1@yahoo.fr,63,2001-11-24,400,100020.55
Adam,Adrien,aadam2@club-internet.fr,92,1946-05-14,146,17828.16
Adam,Alexandrie,aadam@bouygtel.fr,92,1987-05-23,185,49053.43
Adam,Anne,aadam@club-internet.fr,50,1990-11-06,153,346.61
Adam,Andrée,aadam@dbmail.com,52,1942-01-16,311,48342.62
Adam,Amélie,aadam@gmail.com,29,1964-04-01,3,872.65
Adam,André,aadam@hotmail.fr,43,2001-01-21,404,121199.13
Adam,Alix,aadam@noos.fr,90,1950-08-21,482,961.65
Adam,Audrey,aadam@sfr.fr,34,1944-01-23,285,119999.95
Adam,Alfred,aadam@tele2.fr,74,1985-05-27,60,3552.38
Adam,Auguste,aadam@tiscali.fr,87,1957-10-18,24,11579.17
Adam,Anaïs,aadam@wanadoo.fr,06,1946-05-27,428,36546.48
Adam,Adélaïde,aadam@yahoo.fr,11,1987-07-16,175,66581.25
Albert,Antoine,aalbert1@club-internet.fr,971,1945-12-17,364,162567.89
Albert,Augustin,aalbert1@free.fr,50,1959-08-11,233,52747.88
Albert,Alain,aalbert1@gmail.com,67,1956-07-21,10,3333.98
Albert,Aimée,aalbert1@orange.fr,62,2000-01-05,207,18882.22
Albert,Alfred,aalbert1@sfr.fr,85,1990-01-16,213,64057.38
Albert,Agathe,aalbert2@gmail.com,60,1952-02-28,85,4654.66
Albert,Amélie,aalbert2@orange.fr,05,1950-08-10,214,2796.44
Albert,Adélaïde,aalbert3@gmail.com,46,1967-05-07,457,152695.75
Albert,André,aalbert3@orange.fr,45,1949-11-21,59,23701.37
Albert,Anaïs,aalbert4@orange.fr,30,1957-03-27,24,1279.96
Albert,Alfred,aalbert5@orange.fr,32,1970-04-18,114,1289.48
Albert,Arthur,aalbert@club-internet.fr,64,1942-04-19,240,95385.3
Albert,Aurore,aalbert@dbmail.com,05,1971-02-28,458,171381.76
Albert,Alfred,aalbert@free.fr,44,1958-04-23,31,7910.93
Albert,Alice,aalbert@gmail.com,28,1955-07-08,31,10625.41
Albert,Alix,aalbert@ifrance.com,21,1974-01-25,420,93774.49
Albert,Adrienne,aalbert@laposte.net,33,1952-06-21,446,45243.83
Albert,Anaïs,aalbert@live.com,41,1965-12-07,486,154549.74
Albert,Augustin,aalbert@orange.fr,88,1961-07-27,19,1186.7
Albert,Aimé,aalbert@sfr.fr,89,1978-09-10,422,111622.71
Albert,Alice,aalbert@tele2.fr,77,1944-08-05,386,67096.34
Albert,Alexandrie,aalbert@voila.fr,54,1992-05-24,419,45147.16
Albert,André,aalbert@wanadoo.fr,42,1968-06-26,461,104962.94
Alexandre,Aimé,aalexandre1@free.fr,18,1942-07-25,317,49317.7
Alexandre,Alexandrie,aalexandre1@hotmail.fr,28,2005-03-04,236,87047.49
Alexandre,André,aalexandre1@live.com,46,1961-07-12,413,117106.96
Alexandre,André,aalexandre1@orange.fr,42,2002-05-06,330,91644.36
Alexandre,Anouk,aalexandre1@tele2.fr,75,1970-09-24,188,35641.15
Alexandre,Anastasie,aalexandre1@wanadoo.fr,39,1942-11-18,240,27860.7
Alexandre,Adrien,aalexandre2@free.fr,06,1951-11-05,177,30036.45
Alexandre,Alfred,aalexandre2@hotmail.fr,44,1994-11-06,337,81755.33
Alexandre,Alexandria,aalexandre2@live.com,32,1964-05-13,9,2700.6
Alexandre,Alexandria,aalexandre2@orange.fr,35,1954-07-31,305,52631.08
Alexandre,Amélie,aalexandre2@wanadoo.fr,2A,1993-07-29,211,36448.47
Alexandre,Arnaude,aalexandre@dbmail.com,07,1995-01-13,74,14277.36
Alexandre,Alexandria,aalexandre@free.fr,17,1991-12-30,132,38376.64
Alexandre,Antoine,aalexandre@hotmail.fr,40,1941-05-25,74,8851.14
Alexandre,Alexandre,aalexandre@ifrance.com,58,1981-08-01,126,25275.81
Alexandre,Antoine,aalexandre@laposte.net,37,1981-01-17,245,87461.23
Alexandre,Alice,aalexandre@live.com,51,1971-01-27,71,5698.95
Alexandre,Alexandria,aalexandre@orange.fr,53,1946-09-27,389,61676.44
Alexandre,Alfred,aalexandre@sfr.fr,14,1949-02-25,310,62246.69
