nom,prénom,email,département,naissance,visites,dépenses
Gomes,Brigitte,bgomes@laposte.net,79,1960-08-21,67,8342.99
Nicolas,Georges,gnicolas@yahoo.fr,10,1994-05-26,86,10908.08
Berger,Pénélope,pberger@noos.fr,73,2001-03-01,131,3817.79
Charrier,Richard,rcharrier@sfr.fr,2B,1977-08-07,16,997.09
Dubois,Charlotte,cdubois@noos.fr,72,1967-02-20,105,848.7
Aubert,Nicole,naubert@bouygtel.fr,32,1999-03-27,4,320.85
Lamy,Gérard,glamy@noos.fr,10,1961-10-12,110,11817.06
Pereira,Philippe,ppereira@free.fr,33,2002-10-04,17,2565.78
Turpin,Alex,aturpin@club-internet.fr,38,1979-03-04,18,1440.58
Martins,Virginie,vmartins@voila.fr,07,1986-03-09,92,1323.49
Mace,Pauline,pmace@tele2.fr,54,1966-08-17,95,13854.88
Laporte,Julien,jlaporte@laposte.net,83,1968-07-16,122,14327.43
Albert,Eugène,ealbert@free.fr,33,1952-12-14,83,9781.26
Bertin,Maggie,mbertin@yahoo.fr,82,1946-11-05,7,50.1
Foucher,Émilie,efoucher@noos.fr,60,1945-01-13,129,19071.87
Charpentier,Yves,ycharpentier@club-internet.fr,974,1942-06-23,45,5725.65
Rousseau,Laurence,lrousseau@bouygtel.fr,68,1977-01-13,78,9986.39
Paris,Frédérique,fparis@yahoo.fr,19,1974-04-09,49,3127.96
Munoz,Maurice,mmunoz@sfr.fr,47,2001-05-26,27,1227.68
Evrard,Benoît,bevrard@wanadoo.fr,85,1963-04-18,63,2499.93
