nom,prénom,email,département,naissance,visites,dépenses
Bailly,Aurélie,abailly1@gmail.com,22,1986-09-22,54,2397.57
Baron,Léon,lbaron@live.com,02,1965-05-06,13,1952.22
Alves,Luc,lalves@ifrance.com,971,2005-05-19,91,10851.98
Fernandez,Jules,jfernandez1@hotmail.fr,77,1961-04-20,13,415.55
Lacombe,Léon,llacombe@dbmail.com,56,1967-06-30,138,15414.48
Humbert,Suzanne,shumbert@noos.fr,03,1950-11-29,83,11891.15
Carpentier,Marc,mcarpentier2@hotmail.fr,34,1979-07-22,55,4602.26
Ribeiro,Simone,sribeiro@orange.fr,24,1947-07-21,57,2149.18
Raymond,Philippe,praymond@laposte.net,53,1972-08-07,42,4066.12
Besson,Alexandrie,abesson1@wanadoo.fr,53,1976-06-16,150,6285.33
Gaillard,Zacharie,zgaillard@ifrance.com,972,1974-04-19,107,10469.18
Coulon,Laurence,lcoulon1@ifrance.com,81,1995-04-09,12,96.62
David,Marie,mdavid1@hotmail.fr,51,1952-10-21,139,5187.61
Michel,Jean,jmichel@voila.fr,78,1965-10-29,148,7347.47
Maillet,Marianne,mmaillet@tiscali.fr,12,1973-08-04,13,641.01
Guillaume,Véronique,vguillaume@bouygtel.fr,61,1985-08-14,104,13385.89
Meyer,Jules,jmeyer@free.fr,05,1985-12-18,137,2093.33
Wagner,Frédéric,fwagner@gmail.com,87,1940-01-06,103,4055.72
Teixeira,Gérard,gteixeira1@yahoo.fr,2B,1959-12-18,144,3007.54
Lebon,Jean,jlebon1@yahoo.fr,33,1987-07-01,112,9618.71
Gillet,Victor,vgillet@wanadoo.fr,92,1979-06-18,36,4109.49
Faivre,Frédérique,ffaivre@orange.fr,36,2002-10-22,40,3266.84
Richard,Adèle,arichard@live.com,35,1943-11-28,6,586.97
Tanguy,Nath,ntanguy@bouygtel.fr,89,1962-10-17,70,6753.16
Fernandez,Henri,hfernandez@voila.fr,24,1960-02-06,90,10816.73
Nicolas,Éric,enicolas@hotmail.fr,49,1957-02-07,18,2084.57
Thibault,Alex,athibault@bouygtel.fr,09,1947-05-27,29,2062.06
Besson,Marine,mbesson@noos.fr,14,1988-08-06,119,3325.08
Auger,Adélaïde,aauger1@noos.fr,43,1940-09-01,108,14309.86
Bernard,Alexandre,abernard@yahoo.fr,53,1992-11-20,26,1822.63
Maillot,Monique,mmaillot1@tiscali.fr,52,1997-05-20,9,355.93
Imbert,Victor,vimbert@live.com,81,1992-03-05,24,1651.76
Blin,Anouk,ablin2@hotmail.fr,55,2005-10-03,111,5881.06
Pereira,Gérard,gpereira1@tele2.fr,87,1961-06-15,30,191.72
Guyot,Henriette,hguyot@laposte.net,70,1961-08-29,7,883.7
Carpentier,Margot,mcarpentier1@tiscali.fr,89,1994-06-11,131,18276.89
Diallo,Jérôme,jdiallo1@wanadoo.fr,94,1973-03-22,114,3422.82
Royer,Théophile,troyer@ifrance.com,68,1981-02-26,65,1571.31
Riviere,Bertrand,briviere1@bouygtel.fr,30,1948-10-24,17,60.95
Salmon,Emmanuel,esalmon@gmail.com,39,1973-05-28,141,13132.67
Bernard,Colette,cbernard1@yahoo.fr,33,1960-09-13,18,914.11
Bonnet,Emmanuelle,ebonnet1@free.fr,56,1950-10-20,143,14864.08
Baudry,Nicole,nbaudry@yahoo.fr,89,1966-04-26,79,7225.73
Girard,Juliette,jgirard1@voila.fr,93,1968-09-25,71,4645.73
Bouvet,Zacharie,zbouvet@orange.fr,45,2004-09-09,125,18475.18
Gros,Adélaïde,agros@hotmail.fr,46,1953-02-18,36,4607.64
Durand,Alice,adurand3@bouygtel.fr,90,1949-08-18,27,3829.1
Marchand,Philippe,pmarchand2@wanadoo.fr,32,1996-04-29,51,4115.7
Merle,Thierry,tmerle@voila.fr,76,1961-09-28,51,7282.7
Cousin,Simone,scousin1@gmail.com,28,1943-04-21,65,7926.09
Blanchard,Stéphanie,sblanchard1@gmail.com,61,1985-05-13,78,6362.1
Michaud,Inès,imichaud@noos.fr,44,1968-07-14,121,5743.7
Caron,Célina,ccaron1@noos.fr,22,1942-04-01,72,2930.27
Pruvost,Suzanne,spruvost1@orange.fr,28,1948-09-29,60,1125.96
Durand,Timothée,tdurand@laposte.net,68,1951-02-27,42,1752.49
Seguin,Éléonore,eseguin1@bouygtel.fr,17,1995-04-19,115,9772.21
Bonnin,Stéphane,sbonnin@gmail.com,10,1971-05-26,63,8651.39
Hamel,Aurore,ahamel@dbmail.com,79,1943-03-17,112,8174.42
Herve,Alex,aherve3@free.fr,93,1940-02-23,135,12381.99
Chartier,Benoît,bchartier@tiscali.fr,08,1950-02-15,93,12980.34
Marchand,Suzanne,smarchand@tiscali.fr,2B,1946-03-26,133,4645.69
Barbier,daisy,dbarbier@laposte.net,2B,1942-10-13,23,3152.97
Leroux,Sébastien,sleroux@wanadoo.fr,2B,1965-08-16,22,1520.59
Lefebvre,Eugène,elefebvre@laposte.net,973,1963-04-06,106,6230.69
Perez,Aurore,aperez1@sfr.fr,54,1945-02-24,151,20523.69
Perrin,Maggie,mperrin3@gmail.com,32,1972-12-03,112,16694.2
Sanchez,Marcel,msanchez@wanadoo.fr,15,1952-01-31,11,329.23
Fouquet,Tristan,tfouquet@voila.fr,53,2000-10-14,15,2269.67
Albert,Aimé,aalbert1@ifrance.com,42,2005-10-05,56,1956.59
Laporte,Lucie,llaporte@live.com,88,1942-05-02,38,4013.97
Fernandes,Claire,cfernandes2@wanadoo.fr,51,1987-09-15,129,5039.17
Lemonnier,Aurélie,alemonnier1@live.com,05,1943-02-13,80,1246.19
Noel,Vincent,vnoel@hotmail.fr,19,1991-10-19,131,14928.72
Albert,Alain,aalbert4@gmail.com,87,1975-04-02,111,741.71
Roy,Émilie,eroy1@wanadoo.fr,48,1959-12-07,85,10457.94
Delmas,Gilbert,gdelmas@hotmail.fr,94,1980-03-26,57,4181.76
Francois,Margaret,mfrancois@tele2.fr,63,1997-12-18,36,1770.17
Roussel,Gilles,groussel@dbmail.com,48,1951-06-18,57,7380.15
Arnaud,Benjamin,barnaud@tiscali.fr,26,1988-11-11,138,2778.45
Morvan,Louise,lmorvan1@hotmail.fr,52,1992-09-25,73,8441.69
Lambert,Juliette,jlambert@tiscali.fr,19,1953-03-16,96,12782.6
Rodriguez,Margot,mrodriguez@bouygtel.fr,81,1978-08-25,45,171.68
Faivre,Denise,dfaivre@orange.fr,08,1944-12-19,26,229.44
Duhamel,Paulette,pduhamel@noos.fr,19,1954-11-23,6,301.81
Regnier,Lucie,lregnier1@yahoo.fr,23,1943-02-07,43,6406.95
Imbert,Véronique,vimbert@tiscali.fr,32,1960-12-25,76,2777.75
Blot,Éric,eblot1@free.fr,70,1959-07-04,134,5230.9
Dupuis,Juliette,jdupuis@free.fr,31,1993-12-14,103,1993.42
Marie,Auguste,amarie1@free.fr,50,1961-09-12,93,10400.95
Begue,Jules,jbegue@bouygtel.fr,2B,2002-08-24,104,5379.54
Lefebvre,Alex,alefebvre1@tele2.fr,49,1953-02-03,55,6586.62
Garcia,Suzanne,sgarcia@tiscali.fr,11,2000-09-06,66,4829.03
Letellier,Daniel,dletellier@hotmail.fr,03,1971-09-03,38,2589.04
Tessier,Isabelle,itessier@hotmail.fr,01,1959-12-23,105,1311.92
Couturier,René,rcouturier@tiscali.fr,84,1969-02-04,8,421.36
Mary,Yves,ymary@laposte.net,21,1973-03-29,127,18516.49
Pons,Maurice,mpons2@wanadoo.fr,58,1960-08-10,101,13316.19
Girard,Susan,sgirard@yahoo.fr,24,1986-04-02,125,4048.67
Valentin,Alix,avalentin2@live.com,90,1959-10-24,35,2877.97
Parent,Pierre,pparent1@free.fr,48,2001-01-04,57,2604.29
Deschamps,Roland,rdeschamps@wanadoo.fr,39,1975-08-11,112,13909.07
Girard,Victoire,vgirard@noos.fr,19,1998-07-29,91,4095.18
Dias,Madeleine,mdias@gmail.com,971,1957-10-19,151,16695.72
Hoarau,Suzanne,shoarau1@noos.fr,23,1965-08-24,24,1424.71
Dijoux,Patricia,pdijoux@voila.fr,92,1963-04-24,3,117.22
Barre,Alexandrie,abarre2@live.com,31,1955-02-09,21,1788.5
Levy,Roland,rlevy2@voila.fr,88,1972-05-31,98,3161.26
Vidal,Pauline,pvidal@dbmail.com,58,2000-03-18,76,8167.03
Dijoux,Gabrielle,gdijoux@tele2.fr,24,1958-02-09,66,1940.21
Gomes,Nicole,ngomes1@gmail.com,01,1943-06-15,38,1912.54
Hardy,Andrée,ahardy2@noos.fr,93,1996-04-01,36,754.83
Raynaud,Emmanuel,eraynaud@tiscali.fr,78,1965-06-09,147,9424.92
Blondel,daisy,dblondel1@sfr.fr,78,1997-03-24,15,1824.82
Barthelemy,Manon,mbarthelemy1@tele2.fr,90,1958-08-28,53,7525.8
Mathieu,Nathalie,nmathieu@wanadoo.fr,60,1958-10-09,111,3427.98
Lagarde,Sabine,slagarde1@live.com,39,1993-02-04,134,14709.59
Lacombe,Marthe,mlacombe3@sfr.fr,971,1964-10-29,38,402.64
Martel,Claude,cmartel1@free.fr,47,1964-06-17,126,8656.14
Jourdan,Brigitte,bjourdan@noos.fr,80,1973-02-25,113,15496.97
Klein,Roger,rklein@wanadoo.fr,35,1996-03-21,73,5477.91
Rousset,Marianne,mrousset1@hotmail.fr,23,2004-04-16,11,1309.36
Blin,André,ablin3@hotmail.fr,58,2004-07-13,83,7224.03
Carre,Maryse,mcarre1@orange.fr,87,1996-06-06,20,1671.82
Texier,Véronique,vtexier@orange.fr,29,1985-04-16,84,3156.74
Ferrand,Alexandre,aferrand1@free.fr,76,1973-01-20,76,1686.05
Guillet,Zoé,zguillet@laposte.net,62,2001-10-10,74,7415.83
Masse,Édouard,emasse1@voila.fr,25,1983-10-14,65,8046.4
Tanguy,Luce,ltanguy1@ifrance.com,90,1989-10-29,145,362.84
Jacquet,Christophe,cjacquet@bouygtel.fr,19,1986-02-06,132,19280.45
Maurice,Madeleine,mmaurice2@tiscali.fr,56,1987-06-11,28,2652.8
Carpentier,Jérôme,jcarpentier2@tele2.fr,09,1977-09-08,95,5751.63
Hamon,Adélaïde,ahamon@free.fr,73,1987-07-30,38,3186.21
Lefevre,Suzanne,slefevre1@bouygtel.fr,38,1977-04-12,27,758.59
Raynaud,Denise,draynaud@laposte.net,30,1984-01-23,15,1697.47
Masse,Louis,lmasse@live.com,15,1953-01-09,13,690.21
Raynaud,Julie,jraynaud@sfr.fr,94,1976-08-05,84,4660.9
Perrier,Anaïs,aperrier@orange.fr,01,1951-04-22,83,1261.85
Guerin,Yves,yguerin@wanadoo.fr,87,1992-02-07,117,6504.52
Normand,Bernadette,bnormand1@wanadoo.fr,90,1944-03-12,91,7187.4
Laine,Étienne,elaine2@bouygtel.fr,39,1986-10-16,91,5519.42
Delannoy,Jeanne,jdelannoy@wanadoo.fr,34,1989-05-29,148,3999.05
Thibault,Luce,lthibault1@live.com,27,1956-10-21,91,5469.04
Blot,Étienne,eblot@yahoo.fr,90,1980-03-06,83,3569.01
Andre,Hugues,handre@noos.fr,91,1976-09-17,130,17252.0
Reynaud,Thibault,treynaud1@live.com,13,1972-05-03,56,7539.69
Durand,Maurice,mdurand@dbmail.com,2A,1988-11-15,15,2277.17
Pineau,Marguerite,mpineau@free.fr,45,1946-08-08,108,4089.95
Pons,Gabriel,gpons@tele2.fr,15,1963-04-06,64,3889.52
Michaud,Thomas,tmichaud@yahoo.fr,64,1977-08-15,119,790.55
Bailly,Chantal,cbailly1@ifrance.com,32,1966-01-27,136,12009.85
Royer,Pauline,proyer@noos.fr,54,1981-06-17,74,2776.54
Masse,Aimé,amasse2@sfr.fr,21,1992-05-20,36,5278.34
Garnier,Benjamin,bgarnier@hotmail.fr,16,2001-08-14,103,971.72
Guillaume,Victoire,vguillaume@free.fr,91,1967-06-06,127,16407.74
Besnard,Manon,mbesnard1@free.fr,39,1969-11-14,149,15556.6
Rousseau,Auguste,arousseau2@tiscali.fr,90,1986-09-12,150,13808.29
Diaz,Pierre,pdiaz@live.com,52,1960-01-18,112,7773.35
Guibert,François,fguibert@noos.fr,15,1962-10-01,129,16967.48
Richard,Gilbert,grichard@laposte.net,87,1990-08-27,21,96.03
Techer,Daniel,dtecher1@voila.fr,31,1968-08-20,136,11215.02
Lambert,Marie,mlambert@free.fr,45,1994-07-10,93,13677.89
David,Sophie,sdavid1@orange.fr,41,1970-05-05,75,1971.57
Pascal,Jacques,jpascal@gmail.com,31,1994-06-04,43,2163.15
Deschamps,Adrien,adeschamps@wanadoo.fr,95,1979-03-20,81,10032.2
Jacquot,Gilles,gjacquot@wanadoo.fr,73,2001-01-25,83,1987.4
Charpentier,Luce,lcharpentier@noos.fr,17,1976-09-10,89,6453.72
Picard,Marcelle,mpicard3@tiscali.fr,47,1974-07-02,20,2129.88
Dias,Alphonse,adias3@tiscali.fr,38,1949-10-06,110,16646.69
Foucher,Marcelle,mfoucher1@tele2.fr,16,1946-01-05,57,8530.98
Maury,Marie,mmaury1@wanadoo.fr,69,1991-06-08,68,3998.97
Guerin,Renée,rguerin@hotmail.fr,62,1986-06-10,84,1521.08
Legendre,Agathe,alegendre1@hotmail.fr,71,1976-06-14,135,2154.72
Gallet,Zoé,zgallet@laposte.net,49,1958-01-14,64,8114.64
Gautier,Manon,mgautier2@sfr.fr,61,1948-01-21,54,5138.23
Salmon,David,dsalmon1@laposte.net,42,1970-06-16,60,2012.94
Girard,Nicolas,ngirard@orange.fr,44,1951-09-26,139,1735.67
Delaunay,Timothée,tdelaunay@laposte.net,17,1961-09-10,107,6544.82
Chartier,Laurence,lchartier@tele2.fr,69,1999-07-15,151,15786.54
Vallet,Michelle,mvallet1@voila.fr,28,1969-10-15,57,6545.06
Leclercq,Alphonse,aleclercq@bouygtel.fr,65,1961-11-10,25,782.93
Martins,Pauline,pmartins1@hotmail.fr,21,1951-05-07,110,16694.02
Guyot,Renée,rguyot@noos.fr,68,1950-07-09,148,21130.44
Besnard,Aurélie,abesnard2@noos.fr,69,2002-11-14,47,3809.46
Valette,Honoré,hvalette@orange.fr,14,1973-12-15,66,5847.47
Marion,Alexandria,amarion1@hotmail.fr,47,1958-12-12,45,1480.85
Voisin,Hugues,hvoisin@tele2.fr,86,1972-01-03,86,9299.63
Meyer,Nicole,nmeyer@live.com,89,1992-05-15,93,5893.29
Coste,René,rcoste@voila.fr,12,1957-02-16,40,5101.22
Payet,Jean,jpayet@hotmail.fr,73,1943-11-07,117,13733.09
Rocher,Josette,jrocher1@bouygtel.fr,14,2004-10-28,110,14616.57
Hardy,Constance,chardy1@dbmail.com,37,1946-07-17,111,11395.85
Simon,Agathe,asimon1@bouygtel.fr,81,2001-06-04,102,3248.73
Allard,Margot,mallard1@bouygtel.fr,22,1999-02-09,105,803.62
Breton,Maurice,mbreton@live.com,77,1947-02-01,111,6992.34
Picard,Adrien,apicard2@gmail.com,974,1973-04-16,107,13209.09
Clement,André,aclement@noos.fr,07,1987-07-31,103,11515.72
