nom,prénom,email,département,naissance,visites,dépenses
Adam,Astrid,aadam1@club-internet.fr,29,1971-12-25,9,77.19
Adam,Anouk,aadam1@dbmail.com,47,1957-04-30,113,654.54
Adam,Anne,aadam1@sfr.fr,2B,1979-03-04,22,1025.97
Adam,Anaïs,aadam1@tele2.fr,84,1996-06-15,47,5341.52
Adam,Alex,aadam1@yahoo.fr,63,2001-11-24,120,11871.68
Adam,Adrien,aadam2@club-internet.fr,92,1946-05-14,9,994.17
Adam,Alexandrie,aadam@bouygtel.fr,92,1987-05-23,123,860.96
Adam,Anne,aadam@club-internet.fr,50,1990-11-06,65,9497.33
Adam,Andrée,aadam@dbmail.com,52,1942-01-16,149,11006.99
Adam,Amélie,aadam@gmail.com,29,1964-04-01,33,4296.08
Adam,André,aadam@hotmail.fr,43,2001-01-21,42,6056.33
Adam,Alix,aadam@noos.fr,90,1950-08-21,41,267.68
Adam,Audrey,aadam@sfr.fr,34,1944-01-23,31,1411.14
Adam,Alfred,aadam@tele2.fr,74,1985-05-27,8,900.85
Adam,Auguste,aadam@tiscali.fr,87,1957-10-18,9,884.14
Adam,Anaïs,aadam@wanadoo.fr,06,1946-05-27,81,5267.21
Adam,Adélaïde,aadam@yahoo.fr,11,1987-07-16,7,675.57
Albert,Antoine,aalbert1@club-internet.fr,971,1945-12-17,58,4296.45
Albert,Augustin,aalbert1@free.fr,50,1959-08-11,69,998.97
Albert,Alain,aalbert1@gmail.com,67,1956-07-21,57,1975.27
Albert,Aimée,aalbert1@orange.fr,62,2000-01-05,102,10979.44
Albert,Alfred,aalbert1@sfr.fr,85,1990-01-16,99,13083.58
Albert,Agathe,aalbert2@gmail.com,60,1952-02-28,138,4750.21
Albert,Amélie,aalbert2@orange.fr,05,1950-08-10,103,8077.15
Albert,Adélaïde,aalbert3@gmail.com,46,1967-05-07,119,6444.51
Albert,André,aalbert3@orange.fr,45,1949-11-21,131,2286.24
Albert,Anaïs,aalbert4@orange.fr,30,1957-03-27,56,7067.74
Albert,Alfred,aalbert5@orange.fr,32,1970-04-18,2,121.99
Albert,Arthur,aalbert@club-internet.fr,64,1942-04-19,97,14481.97
Albert,Aurore,aalbert@dbmail.com,05,1971-02-28,106,12075.71
Albert,Alfred,aalbert@free.fr,44,1958-04-23,38,4570.17
Albert,Alice,aalbert@gmail.com,28,1955-07-08,106,9739.22
Albert,Alix,aalbert@ifrance.com,21,1974-01-25,61,570.09
Albert,Adrienne,aalbert@laposte.net,33,1952-06-21,110,8598.42
Albert,Anaïs,aalbert@live.com,41,1965-12-07,27,1418.27
Albert,Augustin,aalbert@orange.fr,88,1961-07-27,34,3548.92
Albert,Aimé,aalbert@sfr.fr,89,1978-09-10,44,3408.31
