nom,prénom,email,département,naissance,visites,dépenses
Gomes,Brigitte,bgomes@laposte.net,79,1960-08-21,57,2371.58
Nicolas,Georges,gnicolas@yahoo.fr,10,1994-05-26,145,21030.69
Berger,Pénélope,pberger@noos.fr,73,2001-03-01,67,1592.61
Charrier,Richard,rcharrier@sfr.fr,2B,1977-08-07,131,5462.01
Dubois,Charlotte,cdubois@noos.fr,72,1967-02-20,76,2685.57
Aubert,Nicole,naubert@bouygtel.fr,32,1999-03-27,52,5242.51
Lamy,Gérard,glamy@noos.fr,10,1961-10-12,65,1781.88
Pereira,Philippe,ppereira@free.fr,33,2002-10-04,3,293.51
Turpin,Alex,aturpin@club-internet.fr,38,1979-03-04,101,12577.98
Martins,Virginie,vmartins@voila.fr,07,1986-03-09,18,2324.83
Mace,Pauline,pmace@tele2.fr,54,1966-08-17,18,718.57
Laporte,Julien,jlaporte@laposte.net,83,1968-07-16,126,2785.06
Albert,Eugène,ealbert@free.fr,33,1952-12-14,101,13649.27
Bertin,Maggie,mbertin@yahoo.fr,82,1946-11-05,87,12359.74
Foucher,Émilie,efoucher@noos.fr,60,1945-01-13,42,2943.36
Charpentier,Yves,ycharpentier@club-internet.fr,974,1942-06-23,5,630.0
Rousseau,Laurence,lrousseau@bouygtel.fr,68,1977-01-13,125,1771.67
Paris,Frédérique,fparis@yahoo.fr,19,1974-04-09,19,224.98
Munoz,Maurice,mmunoz@sfr.fr,47,2001-05-26,67,10177.51
Evrard,Benoît,bevrard@wanadoo.fr,85,1963-04-18,126,3783.72
Fischer,Isabelle,ifischer@voila.fr,88,2002-06-08,124,10548.45
Petit,Christine,cpetit@laposte.net,74,1962-11-10,7,224.06
Martel,Arnaude,amartel@ifrance.com,68,1980-03-02,107,2915.8
Breton,Xavier,xbreton@ifrance.com,65,1940-02-07,148,4106.66
Berthelot,Alice,aberthelot@yahoo.fr,68,1999-07-06,20,1456.27
Da Silva,Hélène,hda silva@orange.fr,44,1957-08-22,99,3044.63
Martinez,Adrien,amartinez@dbmail.com,32,1997-01-03,84,9153.21
Valette,Isaac,ivalette@noos.fr,63,1945-09-05,115,10245.27
Bernard,Agathe,abernard@wanadoo.fr,02,1991-05-12,35,2354.24
Guillou,François,fguillou@gmail.com,88,1959-01-20,137,15388.37
Delannoy,Alfred,adelannoy@dbmail.com,80,1947-11-17,121,13484.53
Bazin,Théophile,tbazin@live.com,28,1941-04-06,119,3532.92
Pichon,Thomas,tpichon@free.fr,85,1997-08-05,79,7249.45
De Oliveira,Timothée,tde oliveira@dbmail.com,2B,1979-12-15,10,530.27
Legrand,Thomas,tlegrand@free.fr,78,1942-06-05,10,948.47
Gilbert,Yves,ygilbert@laposte.net,29,1972-07-13,16,336.73
Gomez,Lorraine,lgomez@tele2.fr,84,1960-05-12,112,10518.21
Ledoux,Michelle,mledoux@bouygtel.fr,34,1972-08-07,46,5672.14
Riviere,Jeanne,jriviere@free.fr,17,1978-05-31,41,1811.51
Mary,David,dmary@gmail.com,07,1940-07-14,34,93.05
Pascal,Margaret,mpascal@tiscali.fr,21,1945-09-10,28,2714.19
Guyot,Alexandrie,aguyot@noos.fr,07,1998-10-07,44,1376.48
Chevallier,Jérôme,jchevallier@ifrance.com,25,1983-08-15,29,699.95
Collet,Jean,jcollet@hotmail.fr,55,1950-04-19,108,9270.65
Remy,Emmanuelle,eremy@club-internet.fr,52,1986-03-24,140,3166.46
Barbier,Hortense,hbarbier@bouygtel.fr,61,1954-11-20,17,2256.55
Bouchet,Robert,rbouchet@free.fr,88,1981-01-02,38,4869.31
Roux,Marie,mroux@ifrance.com,09,1999-02-16,23,1004.64
Marty,Manon,mmarty@free.fr,87,1994-06-26,7,924.43
Michaud,Pénélope,pmichaud@bouygtel.fr,57,1986-03-05,138,14869.11
Pruvost,Aimée,apruvost@gmail.com,29,2001-04-27,71,8014.75
Parent,Luc,lparent@dbmail.com,03,2000-03-29,17,898.94
Leconte,Bertrand,bleconte@laposte.net,95,1960-08-09,127,4182.84
Lemoine,Susanne,slemoine@hotmail.fr,73,1962-09-24,2,125.69
Vaillant,Nathalie,nvaillant@bouygtel.fr,68,1950-04-20,88,1584.92
Chevalier,Anaïs,achevalier@orange.fr,78,1941-05-17,12,1670.77
Dupuy,Charlotte,cdupuy@gmail.com,38,1992-11-01,38,3951.17
Chauveau,Éléonore,echauveau@live.com,65,2005-12-21,28,2362.69
Normand,Sabine,snormand@noos.fr,68,1995-02-19,115,3782.47
Charpentier,Yves,ycharpentier@voila.fr,2A,1964-04-06,64,6024.08
Fischer,Arnaude,afischer@tiscali.fr,95,1985-05-10,34,1857.4
Camus,Olivie,ocamus@noos.fr,50,1975-08-21,124,12557.07
Mace,Claire,cmace@orange.fr,94,1968-04-13,11,263.71
Marques,Maggie,mmarques@wanadoo.fr,42,1973-10-17,122,13038.51
Guyot,Charles,cguyot@gmail.com,03,1963-09-03,50,3740.64
Marie,Denise,dmarie@sfr.fr,01,1984-11-04,80,5881.15
Chauveau,Jeanne,jchauveau@laposte.net,23,1949-08-27,129,16148.8
Faivre,Frédéric,ffaivre@wanadoo.fr,36,1972-03-18,45,5211.41
Barthelemy,Roger,rbarthelemy@club-internet.fr,09,1976-04-14,64,9520.63
Aubert,Richard,raubert@noos.fr,76,1959-10-22,7,498.68
Levy,Yves,ylevy@dbmail.com,14,1960-05-16,118,15472.95
Francois,Emmanuelle,efrancois@orange.fr,44,1965-02-15,45,492.2
Fischer,Valentine,vfischer@voila.fr,44,1965-04-15,107,5950.18
Nguyen,Noël,nnguyen@noos.fr,69,1994-02-22,43,5307.77
Monnier,Marcel,mmonnier@orange.fr,94,1949-09-13,58,6382.14
Delahaye,Philippe,pdelahaye@ifrance.com,45,1971-06-10,95,7439.63
Riviere,Chantal,criviere@dbmail.com,71,1972-01-30,133,3942.35
Teixeira,Adèle,ateixeira@club-internet.fr,03,1958-05-18,92,10789.89
Ruiz,Colette,cruiz@bouygtel.fr,11,1957-03-10,100,8616.31
Lefevre,David,dlefevre@yahoo.fr,26,1976-04-24,130,4486.66
Breton,Guillaume,gbreton@tiscali.fr,29,1975-05-17,141,17721.31
Lamy,Thérèse,tlamy@gmail.com,74,2001-07-09,3,25.74
Devaux,Grégoire,gdevaux@dbmail.com,38,1980-03-21,80,1992.58
Picard,Lucie,lpicard@dbmail.com,49,1974-02-17,128,11637.57
Fournier,Lucie,lfournier@free.fr,62,1941-09-26,90,1747.48
Regnier,Virginie,vregnier@tele2.fr,09,2004-08-07,126,1781.71
Valette,Élisabeth,evalette@voila.fr,88,1987-08-12,101,14466.73
Maillot,Jacques,jmaillot@club-internet.fr,72,1966-02-20,107,8274.41
Lenoir,Alice,alenoir@orange.fr,52,1948-10-16,34,298.97
Jacob,Alexandrie,ajacob@wanadoo.fr,73,1994-02-20,150,4572.83
Vidal,Xavier,xvidal@voila.fr,09,1952-09-15,33,4203.47
Mercier,Pierre,pmercier@yahoo.fr,87,1991-02-20,76,11316.95
Antoine,Émilie,eantoine@orange.fr,971,2004-12-19,117,17644.51
Guichard,Matthieu,mguichard@orange.fr,34,1942-11-15,70,9913.32
Bonneau,Georges,gbonneau@live.com,68,1981-06-01,70,10200.49
Blot,Emmanuel,eblot@free.fr,80,1961-12-22,29,1649.68
Andre,Isaac,iandre@bouygtel.fr,87,1963-07-12,93,1425.21
Leconte,René,rleconte@ifrance.com,25,1963-05-28,94,5701.05
Chevallier,Alain,achevallier@club-internet.fr,44,2002-05-30,68,7002.36
Garnier,Daniel,dgarnier@hotmail.fr,77,1968-03-04,2,21.76
Jacquot,Christiane,cjacquot@noos.fr,39,2005-04-02,48,193.49
Menard,Susanne,smenard@tele2.fr,43,1977-11-27,104,8830.87
