email,dépenses
wpereira@orange.fr,104.91
ariviere@tiscali.fr,18.37
mdias@dbmail.com,130.67
gletellier@noos.fr,110.55
mparis@yahoo.fr,120.89
clebon@orange.fr,52.95
mmonnier@orange.fr,65.77
lparent@ifrance.com,13.23
ebarbe@dbmail.com,79.76
araynaud@tiscali.fr,102.73
jbodin@wanadoo.fr,80.52
mribeiro@noos.fr,130.63
adupont@yahoo.fr,130.51
aparent@dbmail.com,63.33
amercier@orange.fr,26.65
fcordier@gmail.com,89.86
abaudry@sfr.fr,23.69
lbegue@ifrance.com,63.53
rguillou@laposte.net,59.2
vaubry@bouygtel.fr,67.28
bpascal@orange.fr,84.67
opierre@yahoo.fr,128.48
hlegros@laposte.net,43.13
fbousquet@dbmail.com,100.27
jbernier@yahoo.fr,150.4
nbrunel@noos.fr,135.71
jpetitjean@wanadoo.fr,80.08
llaine@club-internet.fr,147.89
ebouchet@bouygtel.fr,95.0
lollivier@tele2.fr,95.58
rguillou@laposte.net,68.76
rchevallier@bouygtel.fr,118.53
cgrenier@ifrance.com,107.13
cdurand@free.fr,134.98
mmarchal@voila.fr,91.61
mmaillot@voila.fr,144.78
mnormand@noos.fr,98.15
rpires@free.fr,102.4
sjacquot@gmail.com,58.15
bpruvost@tiscali.fr,13.74
vmarion@club-internet.fr,127.93
dmeunier@laposte.net,87.68
avallee@sfr.fr,150.21
dgomes@tiscali.fr,117.72
smaury@tiscali.fr,105.75
lvaillant@club-internet.fr,146.29
nleger@hotmail.fr,68.58
sgimenez@tele2.fr,145.66
agermain@voila.fr,147.24
lmoreau@free.fr,116.2
ialexandre@noos.fr,61.17
jgodard@yahoo.fr,37.75
cbesnard@voila.fr,64.55
smarion@dbmail.com,105.6
araynaud@sfr.fr,49.06
sweber@gmail.com,43.19
rmercier@bouygtel.fr,76.38
iclerc@free.fr,81.25
rmahe@club-internet.fr,48.92
egosselin@tiscali.fr,136.57
cmichaud@hotmail.fr,139.07
icoulon@voila.fr,126.2
eguerin@dbmail.com,33.28
zcarlier@sfr.fr,58.42
vguillot@voila.fr,40.15
bjacques@yahoo.fr,49.16
dlelievre@dbmail.com,82.36
mlejeune@noos.fr,83.29
malbert@dbmail.com,68.72
amarion@ifrance.com,29.65
hbernard@live.com,12.94
lmartins@ifrance.com,83.55
sbenoit@dbmail.com,134.66
eherve@wanadoo.fr,89.29
fmendes@free.fr,50.55
ilebrun@live.com,120.23
fraynaud@orange.fr,137.8
jtexier@tele2.fr,122.92
nrousseau@sfr.fr,72.62
lbourgeois@laposte.net,148.25
mroyer@bouygtel.fr,129.15
agomez@live.com,114.84
eferreira@tiscali.fr,54.83
pdelaunay@tele2.fr,149.36
zvasseur@club-internet.fr,130.11
jdenis@orange.fr,150.02
galves@ifrance.com,121.38
dimbert@hotmail.fr,53.42
wlouis@tiscali.fr,98.54
ibertin@club-internet.fr,60.3
ffouquet@yahoo.fr,21.35
iimbert@yahoo.fr,147.99
mrenaud@orange.fr,75.02
rgauthier@voila.fr,110.19
mblanchard@yahoo.fr,134.41
ehuet@noos.fr,4.18
cpons@dbmail.com,2.58
emahe@dbmail.com,79.1
gnavarro@wanadoo.fr,125.92
xbecker@ifrance.com,76.0
pcousin@dbmail.com,40.37
rmartin@bouygtel.fr,12.86
nberger@laposte.net,62.18
mfabre@sfr.fr,136.23
ehoarau@live.com,122.43
pparent@club-internet.fr,97.92
drobert@noos.fr,22.44
bsimon@gmail.com,19.46
evallee@tele2.fr,35.12
mguyon@tele2.fr,59.06
blemoine@gmail.com,31.8
aperrier@tiscali.fr,31.41
arossi@bouygtel.fr,3.45
dcouturier@laposte.net,84.63
hgaudin@noos.fr,141.66
mpasquier@tiscali.fr,124.93
sverdier@sfr.fr,87.64
atorres@gmail.com,12.7
cmonnier@live.com,99.13
mde oliveira@tele2.fr,51.54
mdijoux@gmail.com,34.13
ehubert@dbmail.com,20.9
ldeschamps@hotmail.fr,79.62
nmarty@noos.fr,4.6
ggay@tele2.fr,80.45
emaillet@club-internet.fr,66.15
ddumont@voila.fr,146.93
amenard@club-internet.fr,146.88
mpichon@gmail.com,109.61
abarbe@yahoo.fr,80.33
pleroux@free.fr,56.04
nlecomte@free.fr,81.68
pfaivre@dbmail.com,109.52
sgerard@tele2.fr,118.25
tcolin@wanadoo.fr,128.52
sdupuy@yahoo.fr,22.66
xfrancois@wanadoo.fr,143.18
tchauveau@club-internet.fr,40.54
xbourgeois@sfr.fr,97.03
cmerle@ifrance.com,32.57
lgerard@sfr.fr,109.98
cdeschamps@ifrance.com,130.01
mlombard@sfr.fr,57.23
nlegros@hotmail.fr,106.63
pboulanger@sfr.fr,62.98
cbarbier@dbmail.com,32.08
mchauvin@dbmail.com,25.41
mjoly@bouygtel.fr,119.0
ochevalier@noos.fr,11.74
